Dest_name	Prefix	Day	Evening	Weekend	Effective_Date
---------	------	---	-------	-------	--------------
Afghanistan	93	0.226200	0.226200	0.226200	Jun  1 2012
Afghanistan Cdma	9375	0.180600	0.180600	0.180600	Apr  1 2010
Afghanistan Mobile Areeba	9377	0.191800	0.191800	0.191800	Apr  1 2010
Afghanistan Mobile Awcc	9370	0.179000	0.179000	0.179000	Apr  1 2010
Afghanistan Mobile Etisalat	9378	0.182000	0.182000	0.182000	Apr  1 2010
Afghanistan Mobile Other Carriers	937	0.180600	0.180600	0.180600	Apr  1 2010
Afghanistan Mobile Roshan	9379	0.180800	0.180800	0.180800	Apr  1 2010
Albania	355	0.065000	0.065000	0.065000	Mar  1 2012
Albania Mobile Amc	35568	0.264100	0.264100	0.264100	Jul  1 2012
Albania Mobile Eagle	35567	0.233800	0.233800	0.233800	Jul  1 2012
Albania Mobile Eagle	35566	0.233800	0.233800	0.233800	Jul  1 2012
Albania Mobile Vodafone	35569	0.219100	0.219100	0.219100	Jul  1 2012
Albania Tirana	3554	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35541	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35542	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35543	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35544	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35545	0.065000	0.065000	0.065000	Mar  1 2012
Albania Tirana	35546	0.065000	0.065000	0.065000	Mar  1 2012
Algeria	213	0.050700	0.050700	0.050700	Jun  1 2012
Algeria Algiers	21321	0.059000	0.059000	0.059000	Feb 19 2010
Algeria Cat	2131	0.058900	0.058900	0.058900	Feb 19 2010
Algeria Mobile	2136	0.190000	0.190000	0.190000	May  1 2012
Algeria Mobile	21398	0.190000	0.190000	0.190000	May  1 2012
Algeria Mobile	21399	0.190000	0.190000	0.190000	May  1 2012
Algeria Mobile Mobilis	21366	0.187500	0.187500	0.187500	May  1 2012
Algeria Mobile Mobilis	213697	0.187500	0.187500	0.187500	May  1 2012
Algeria Mobile Mobilis	213698	0.187500	0.187500	0.187500	May  1 2012
Algeria Mobile Mobilis	213699	0.187500	0.187500	0.187500	May  1 2012
Algeria Mobile Orascom	21377	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213790	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213791	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213792	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213793	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213794	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213795	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	213796	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	2137	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21390	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21391	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21392	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21393	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21394	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21395	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Orascom	21396	0.259500	0.259500	0.259500	May  1 2012
Algeria Mobile Wataniya	21355	0.321500	0.321500	0.321500	May  1 2012
Algeria Mobile Wataniya	2135	0.321500	0.321500	0.321500	May  1 2012
American Samoa	16840	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16841	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16843	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16844	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16845	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16846	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16847	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16848	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	16849	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa	1684	0.041500	0.041500	0.041500	Jan 29 2010
American Samoa Mobile	16842	0.041500	0.041500	0.041500	Jan 29 2010
Andorra	376	0.021000	0.021000	0.021000	Jun  1 2009
Andorra Mobile	3763	0.218200	0.218200	0.218200	Jun  1 2009
Andorra Mobile	3764	0.218200	0.218200	0.218200	Jun  1 2009
Andorra Mobile	3766	0.218200	0.218200	0.218200	Jun  1 2009
Angola	244	0.085000	0.085000	0.085000	May  1 2012
Angola Mobile	24491	0.080400	0.080400	0.080400	Jun  1 2012
Angola Mobile	24492	0.080400	0.080400	0.080400	Jun  1 2012
Angola Mobile	2449	0.080400	0.080400	0.080400	Jun  1 2012
Anguilla	1264	0.088600	0.088600	0.088600	Oct  1 2010
Anguilla Mobile	1264235	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264469	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264476	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264536	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264537	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264538	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264539	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264543	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264581	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264582	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264583	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264584	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264729	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264772	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264497	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264724	0.187800	0.187800	0.187800	Oct  1 2010
Anguilla Mobile	1264773	0.187800	0.187800	0.187800	Oct  1 2010
Antarctica	6721	0.849500	0.849500	0.849500	Jun  1 2009
Antarctica	672	0.849500	0.849500	0.849500	Jun  1 2009
Antarctica Casey	67212	0.466800	0.466800	0.466800	Jun  1 2009
Antarctica Scott Base	67211	0.466800	0.466800	0.466800	Jun  1 2009
Antigua And Barbuda	1268	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268464	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	126872	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268764	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268770	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268771	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268772	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268773	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268774	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268775	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268779	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268780	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268781	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268782	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268783	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268784	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268785	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268786	0.109500	0.109500	0.109500	Jan 29 2010
Antigua And Barbuda Mobile	1268788	0.109500	0.109500	0.109500	Jan 29 2010
Argentina	54	0.014800	0.014800	0.014800	Jun  1 2012
Argentina Bahia Blanca	54291	0.006600	0.006600	0.006600	Feb  8 2012
Argentina Buenos Aires	54114	0.005200	0.005200	0.005200	Jul  1 2012
Argentina Buenos Aires	5411	0.005200	0.005200	0.005200	Jul  1 2012
Argentina Central	54230	0.010500	0.010500	0.010500	Feb  8 2012
Argentina Central	54299	0.010500	0.010500	0.010500	Feb  8 2012
Argentina Central	54353	0.010500	0.010500	0.010500	Feb  8 2012
Argentina Central	54358	0.010500	0.010500	0.010500	Feb  8 2012
Argentina Central	54387	0.010500	0.010500	0.010500	Feb  8 2012
Argentina Cordoba	54351	0.004900	0.004900	0.004900	Jun  1 2012
Argentina La Plata	54221	0.008500	0.008500	0.008500	Feb  8 2012
Argentina Mar Del Plata	54223	0.011900	0.011900	0.011900	Jun  1 2012
Argentina Mendoza	54261	0.008700	0.008700	0.008700	Jun  1 2012
Argentina Mobile	549	0.092300	0.092300	0.092300	Dec  7 2009
Argentina Mobile Claro	54911	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54922	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54923	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54924	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54926	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54929	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54933	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54934	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54935	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54937	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Mobile Claro	54938	0.096500	0.096500	0.096500	Jun  1 2012
Argentina Pilar	54232	0.008500	0.008500	0.008500	Feb  8 2012
Argentina Rosario	54341	0.007700	0.007700	0.007700	Jun  1 2009
Argentina Santa Fe	54342	0.007000	0.007000	0.007000	Feb  8 2012
Argentina Tuchman	54381	0.007600	0.007600	0.007600	Feb  8 2012
Argentina Zarate	54348	0.017300	0.017300	0.017300	Jun  1 2012
Armenia	374	0.083500	0.083500	0.083500	May  1 2012
Armenia Mobile	37491	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	37492	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	37493	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	37494	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	37497	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	3747	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	3749	0.139500	0.139500	0.139500	Oct  1 2010
Armenia Mobile	3745	0.139500	0.139500	0.139500	Oct  1 2010
Armenia N Karabakh	37447	0.110000	0.110000	0.110000	Oct  1 2010
Armenia Yerevan	3741	0.082000	0.082000	0.082000	Oct  1 2010
Aruba	297	0.081000	0.081000	0.081000	May  1 2012
Aruba Mobile	29756	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	29759	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	29773	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	29774	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	29796	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297990	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297992	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297993	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297994	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297995	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297996	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297997	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297998	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	297999	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	2979	0.187500	0.187500	0.187500	May  1 2012
Aruba Mobile	2976	0.187500	0.187500	0.187500	May  1 2012
Ascension Island	247	0.549000	0.549000	0.549000	Jun  1 2009
Australia	61	0.023600	0.023600	0.023600	Jun  1 2012
Australia Adelaide	61881	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61882	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61883	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61884	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61870	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61871	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61872	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61873	0.011500	0.011500	0.011500	May  1 2012
Australia Adelaide	61874	0.011500	0.011500	0.011500	May  1 2012
Australia Brisbane	6173	0.009800	0.009800	0.009800	Jun  1 2012
Australia Brisbane	6172	0.009800	0.009800	0.009800	Jun  1 2012
Australia Canberra	61261	0.011000	0.011000	0.011000	Jun  1 2011
Australia Canberra	61262	0.011000	0.011000	0.011000	Jun  1 2011
Australia Christmas Islands	61891	0.014700	0.014700	0.014700	Jun  1 2012
Australia Melbourne	6138	0.011500	0.011500	0.011500	Jun  1 2012
Australia Melbourne	6139	0.011500	0.011500	0.011500	Jun  1 2012
Australia Mobile	6116	0.080000	0.080000	0.080000	Jun  1 2011
Australia Mobile	6142	0.080000	0.080000	0.080000	Jun  1 2011
Australia Mobile	614	0.080000	0.080000	0.080000	Jul  1 2012
Australia Mobile Hutchison	61433	0.072700	0.072700	0.072700	Jun  1 2012
Australia Mobile Hutchison	61425	0.072700	0.072700	0.072700	Jun  1 2012
Australia Mobile Hutchison	61430	0.072700	0.072700	0.072700	Jun  1 2012
Australia Mobile Optus	61401	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61402	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61403	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61411	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61412	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61413	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61421	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61422	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61423	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61431	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61432	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61434	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61435	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61466	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614683	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614684	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614685	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614686	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614687	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614688	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614689	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	61478	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614790	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Optus	614791	0.075500	0.075500	0.075500	Jun  1 2012
Australia Mobile Satellite	611451	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	611452	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	611453	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114711	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114712	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114713	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114714	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114715	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114716	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114717	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114718	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Satellite	6114719	1.800000	1.800000	1.800000	Jun  1 2011
Australia Mobile Telstra	61400	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61407	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61408	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61409	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61417	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61418	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61419	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61427	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61428	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61429	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61437	0.083000	0.083000	0.083000	May 17 2010
Australia Mobile Telstra	61438	0.083000	0.083000	0.083000	May 17 2010
